OTUId	C7.3	E4.6	G8.5	C7.4	E4.1	E4.8	E4.3	E4.2	E4.4	C7.5	G8.1	G8.4	C7.2	E4.9	C7.1	E4.7	G8.3	E4.10	E4.5	G8.2
OTU_1494;size=8;	3	0	0	1	2	0	0	2	0	0	1	0	0	0	1	1	0	1	2	0
OTU_319;size=170;	0	0	0	2	1	244	0	0	1	0	0	2	1	0	0	1	1	0	1	0
OTU_608;size=61;	20	0	1	0	4	1	0	0	0	67	0	0	0	0	0	7	0	0	0	0
OTU_436;size=233;	27	0	2	2	132	1	3	2	46	3	2	11	5	4	5	34	17	19	31	2
OTU_1153;size=9;	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_569;size=74;	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	111	1	0	0	1
OTU_1057;size=22;	0	0	12	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
OTU_1318;size=4;	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_204;size=394;	12	22	3	91	34	1	37	8	138	8	32	1	11	26	28	54	21	9	13	18
OTU_1005;size=186;	0	0	0	2	0	0	0	415	0	0	0	0	1	0	0	0	0	0	2	0
OTU_1492;size=32;	17	22	3	2	9	0	21	57	17	0	12	0	11	20	2	4	2	32	8	11
OTU_633;size=73;	1	0	0	0	0	0	60	1	50	0	0	1	1	1	0	0	0	0	0	1
OTU_676;size=47;	0	0	0	0	0	1	0	12	0	0	1	1	0	0	17	0	39	0	0	0
OTU_528;size=120;	0	0	0	0	1	2	6	1	1	37	11	0	1	0	111	0	0	20	1	0
OTU_200;size=373;	0	0	1	0	2	1	2	1	1	1	2	506	0	1	2	2	0	1	1	0
OTU_1255;size=6;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU_609;size=108;	2	0	0	0	1	0	1	0	0	1	102	1	1	0	1	15	47	0	13	0
OTU_669;size=63;	0	0	0	0	106	0	0	0	2	0	0	0	0	1	0	0	1	2	0	0
OTU_494;size=77;	1	0	2	0	0	1	0	0	2	1	1	0	0	0	0	1	0	113	0	0
OTU_174;size=515;	2	1	0	0	1	2	2	60	1	657	1	2	2	28	9	1	2	0	0	16
OTU_258;size=254;	4	4	94	88	0	1	0	1	81	1	2	0	0	1	1	105	0	3	1	4
OTU_1491;size=6;	0	4	0	0	1	0	12	0	0	0	0	0	0	21	0	0	1	0	0	0
OTU_360;size=143;	0	0	1	0	1	1	0	0	2	0	4	0	0	151	0	6	1	2	20	21
OTU_299;size=233;	1	0	1	1	0	0	0	1	0	254	1	48	0	0	66	1	0	0	1	0
OTU_177;size=493;	1	4	692	1	3	0	1	3	0	3	0	1	1	0	2	0	3	1	1	0
OTU_442;size=106;	0	0	0	152	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0
OTU_317;size=172;	2	0	2	0	0	0	1	2	1	2	0	224	0	1	28	0	0	0	2	0
OTU_260;size=262;	0	0	304	22	1	0	3	2	3	30	3	1	0	0	4	2	0	2	13	1
OTU_376;size=131;	95	2	0	0	87	1	0	1	2	2	0	2	1	1	0	1	0	24	1	0
OTU_549;size=68;	0	0	1	0	0	0	0	1	101	1	0	0	0	0	0	0	0	1	0	0
OTU_244;size=273;	0	0	0	366	1	1	0	0	1	1	10	4	1	0	4	1	1	1	0	0
OTU_438;size=132;	0	1	107	1	0	0	0	0	0	0	0	1	2	1	0	29	0	37	0	0
OTU_503;size=138;	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	209	0	0	1	0
OTU_862;size=26;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
OTU_870;size=23;	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
OTU_305;size=305;	0	23	58	2	62	0	0	128	5	89	65	2	0	2	0	11	2	3	0	2
OTU_426;size=95;	2	0	0	133	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0
OTU_1535;size=2;	16	2	14	11	9	1	3	5	16	14	24	12	2	17	21	24	15	16	7	1
OTU_1518;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1	1	1
OTU_234;size=265;	1	0	0	1	359	0	1	0	0	0	1	3	0	1	2	3	0	2	0	0
OTU_327;size=165;	1	0	2	0	0	0	1	0	0	2	1	1	0	0	0	0	0	220	1	0
OTU_1032;size=14;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
OTU_222;size=293;	0	0	2	1	2	0	239	0	0	13	2	170	2	0	1	1	1	0	2	1
OTU_1125;size=10;	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1451;size=69;	2	6	2	5	97	2	3	1	1	457	2	0	0	0	2	140	2	1	0	1
OTU_400;size=145;	0	4	0	155	1	1	0	0	0	0	60	2	0	1	0	0	0	0	2	0
OTU_603;size=56;	81	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	12	0	0
OTU_1294;size=5;	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
OTU_690;size=46;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	79	0	1	0	0
OTU_712;size=57;	14	0	0	0	1	0	17	0	0	0	0	0	1	7	51	0	0	1	0	0
OTU_1008;size=15;	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU_428;size=123;	0	0	0	1	0	1	0	187	0	0	0	1	0	2	1	3	1	0	1	0
OTU_416;size=196;	1	1	1	1	1	0	0	62	0	4	97	0	0	3	125	7	0	1	2	0
OTU_1146;size=9;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
OTU_492;size=179;	0	1	1	2	0	0	0	1	0	1	268	0	0	4	0	0	0	2	1	0
OTU_1531;size=10;	1	32	0	0	4	0	9	3	0	1	1	4	24	5	0	3	1	0	13	11
OTU_372;size=153;	0	0	1	3	216	0	0	0	0	0	0	1	2	1	0	2	1	1	1	0
OTU_940;size=47;	0	0	1	77	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
OTU_312;size=163;	1	0	0	0	1	0	0	0	31	44	155	1	0	1	1	1	3	1	0	0
OTU_228;size=397;	3	101	2	85	1	0	158	1	2	5	3	2	1	78	134	35	1	4	1	1
OTU_392;size=116;	0	0	1	0	1	0	0	0	0	1	1	192	0	0	0	0	0	1	1	0
OTU_599;size=57;	0	0	0	1	1	0	0	0	0	0	84	0	0	0	0	0	0	0	0	1
OTU_397;size=131;	1	0	1	1	0	0	0	0	1	0	2	172	1	1	6	1	1	0	0	0
OTU_159;size=559;	1	55	7	152	3	1	0	344	2	4	58	5	1	2	5	2	3	109	1	0
OTU_264;size=228;	1	1	306	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	0
OTU_1180;size=121;	13	46	3	5	17	0	2	63	2	9	3	0	16	12	6	3	2	12	19	2
OTU_679;size=51;	0	0	0	0	0	0	0	1	0	77	0	0	0	1	0	0	0	0	0	0
OTU_722;size=39;	0	0	0	0	56	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_485;size=84;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	1
OTU_267;size=252;	2	0	1	2	1	0	2	0	0	0	2	0	0	0	0	365	1	0	0	0
OTU_325;size=172;	0	25	110	1	0	2	0	0	0	120	0	1	0	1	0	1	1	0	0	0
OTU_691;size=49;	0	0	56	0	0	0	1	0	0	0	0	15	0	0	0	0	0	1	0	0
OTU_151;size=761;	37	17	78	76	61	4	35	124	116	26	28	54	60	67	92	50	44	63	31	18
OTU_733;size=35;	0	0	59	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1501;size=10;	6	7	4	8	14	0	8	7	6	3	7	4	4	7	20	3	8	9	3	1
OTU_1377;size=22;	1	2	1	29	1	0	1	6	2	22	24	8	0	0	1	0	1	0	0	0
OTU_399;size=151;	16	1	1	16	0	1	35	2	2	21	24	18	0	0	43	1	4	21	4	19
OTU_1566;size=2;	0	2	0	22	3	0	0	0	0	0	0	0	1	2	1	9	0	0	0	20
OTU_218;size=325;	0	2	67	1	3	0	3	13	0	1	3	3	1	2	1	1	346	2	1	20
OTU_472;size=167;	1	0	195	1	0	1	0	1	1	1	2	2	0	0	1	0	1	1	0	0
OTU_1291;size=46;	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	331	0	1	0	0
OTU_665;size=55;	1	22	0	0	1	0	0	0	0	0	0	0	0	0	76	0	1	0	0	0
OTU_873;size=29;	1	1	0	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	40	0
OTU_917;size=23;	0	0	0	0	0	0	0	32	0	0	1	0	0	0	0	0	0	0	0	0
OTU_661;size=43;	1	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
OTU_348;size=168;	0	1	1	5	1	1	0	0	0	1	2	0	0	0	1	1	225	0	1	0
OTU_418;size=122;	4	0	0	3	0	1	0	165	0	2	1	3	1	0	3	0	1	0	0	0
OTU_279;size=281;	1	27	4	2	2	3	0	139	0	1	1	0	0	0	66	2	103	23	5	50
OTU_777;size=46;	1	0	0	0	0	0	0	0	65	0	0	25	0	0	0	1	0	0	0	1
OTU_845;size=32;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	44	0	1
OTU_514;size=105;	0	0	0	0	1	1	0	0	0	147	0	0	1	0	1	1	1	0	0	1
OTU_452;size=153;	0	62	2	62	1	1	9	2	87	0	1	2	20	1	1	0	1	1	0	1
OTU_1423;size=64;	1	2	2	7	104	1	69	175	3	5	4	2	17	1	7	0	3	84	28	138
OTU_421;size=108;	0	0	0	0	0	1	1	0	0	0	0	2	22	0	2	110	0	27	0	0
OTU_407;size=111;	172	0	1	2	0	0	1	1	0	1	2	1	0	1	0	0	0	0	0	1
OTU_1545;size=2;	0	0	0	2	15	0	1	0	8	0	0	99	1	53	1	3	0	0	0	1
OTU_774;size=31;	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	43
OTU_458;size=108;	0	0	6	11	15	0	2	5	2	1	0	27	1	2	11	57	10	5	4	4
OTU_562;size=62;	0	0	0	2	0	0	38	0	0	41	0	4	0	0	1	1	0	0	0	0
OTU_338;size=147;	0	0	0	124	0	0	0	0	2	0	0	0	1	0	0	88	0	0	0	0
OTU_408;size=111;	0	0	177	0	1	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0
OTU_1468;size=2;	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	126	0	0	0	0
OTU_786;size=32;	1	0	1	1	0	2	0	27	0	0	4	14	0	0	1	0	1	0	0	1
OTU_994;size=15;	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_509;size=74;	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	109	0	2	0	0
OTU_987;size=33;	1	126	1	1	0	0	0	0	0	1	0	1	0	0	0	0	16	0	0	1
OTU_250;size=239;	0	1	1	3	0	2	1	0	1	1	1	335	0	1	2	2	2	1	0	0
OTU_921;size=22;	0	0	0	0	0	0	0	1	0	0	0	0	0	1	37	0	0	0	0	0
OTU_1260;size=6;	0	1	0	0	0	1	0	5	0	0	0	1	0	1	0	0	0	0	0	0
OTU_350;size=135;	0	0	2	1	1	0	1	1	0	116	3	84	1	1	9	1	3	1	1	1
OTU_451;size=95;	0	0	0	1	0	0	0	0	0	136	1	0	1	0	0	0	0	0	0	0
OTU_598;size=60;	0	0	0	0	77	0	0	0	0	0	2	0	0	1	0	0	1	1	0	1
OTU_335;size=179;	4	0	1	1	1	0	0	0	0	239	1	1	0	1	1	2	1	1	0	0
OTU_233;size=296;	2	5	3	57	0	1	0	1	2	104	244	1	1	1	16	1	1	1	1	2
OTU_1081;size=17;	5	0	2	0	0	0	3	1	0	3	3	0	0	2	3	0	10	0	0	1
OTU_497;size=72;	0	0	0	100	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU_723;size=38;	0	0	0	0	0	1	0	16	0	31	0	1	0	0	8	0	0	0	0	0
OTU_1106;size=10;	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_895;size=25;	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	37
OTU_932;size=33;	0	0	1	0	1	0	1	0	58	0	0	1	0	0	0	0	0	0	0	0
OTU_362;size=141;	0	1	0	0	0	0	0	0	1	0	1	0	1	0	204	1	1	0	0	0
OTU_638;size=48;	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0
OTU_852;size=24;	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	55	0	0	0	0
OTU_471;size=222;	2	0	1	0	0	0	1	111	1	0	1	0	0	13	2	51	1	0	0	146
OTU_779;size=40;	0	0	58	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_829;size=32;	0	0	0	0	0	0	0	0	0	51	1	16	0	0	0	0	0	0	0	0
OTU_798;size=99;	1	6	42	2	37	0	0	0	3	10	9	10	4	0	9	1	8	13	7	6
OTU_813;size=44;	0	0	0	2	0	0	0	0	0	85	0	0	0	1	0	0	0	0	0	0
OTU_387;size=119;	1	163	3	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	1	0
OTU_700;size=85;	2	3	4	0	2	0	3	6	1	33	21	1	2	1	70	3	1	7	2	21
OTU_951;size=18;	25	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1025;size=14;	0	0	0	0	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0
OTU_462;size=127;	184	0	0	6	1	0	0	1	0	2	0	2	1	14	0	0	5	0	5	0
OTU_582;size=86;	2	0	0	0	0	0	1	0	40	1	0	0	45	1	2	0	0	0	52	0
OTU_480;size=80;	0	0	1	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	112	1
OTU_313;size=162;	1	5	0	16	1	2	1	0	4	0	4	0	7	14	0	130	30	2	1	0
OTU_1295;size=5;	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	0
OTU_382;size=120;	1	0	1	1	0	0	0	0	0	0	0	2	0	1	187	0	1	1	0	1
OTU_979;size=19;	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	27	0
OTU_991;size=15;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
OTU_772;size=35;	0	0	0	0	0	0	0	1	0	0	0	0	0	0	63	0	1	0	0	0
OTU_502;size=69;	1	0	0	1	0	0	0	26	1	0	0	1	0	3	4	61	1	2	0	2
OTU_964;size=19;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
OTU_919;size=31;	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
OTU_575;size=77;	1	0	0	2	0	0	0	1	0	0	0	3	120	0	0	2	1	0	0	0
OTU_441;size=97;	0	0	1	1	0	0	1	46	0	0	0	1	0	1	1	0	87	0	0	0
OTU_346;size=175;	2	1	0	0	1	0	0	1	239	17	0	1	1	1	1	1	1	0	1	1
OTU_830;size=31;	0	4	0	0	0	0	11	1	2	1	0	0	0	0	0	0	0	0	28	9
OTU_1392;size=9;	3	0	0	2	0	0	8	43	1	0	0	0	1	2	1	0	0	3	9	2
OTU_819;size=31;	0	0	0	0	0	0	51	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU_1409;size=21;	1	8	0	2	0	0	5	14	0	1	0	0	10	1	0	1	1	5	3	5
OTU_1538;size=4;	0	3	0	1	0	0	0	28	3	0	0	0	10	0	0	0	0	0	1	2
OTU_824;size=31;	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	42	1
OTU_395;size=114;	0	0	103	0	3	1	2	0	0	0	0	12	0	0	0	0	2	1	0	64
OTU_349;size=285;	2	0	1	2	2	1	0	2	1	2	10	2	0	5	0	0	1	406	0	0
OTU_434;size=101;	0	1	1	0	0	0	0	1	0	0	0	0	60	11	4	75	0	0	0	0
OTU_647;size=47;	1	0	0	1	0	0	0	0	70	0	0	1	0	0	1	0	0	0	0	0
OTU_340;size=349;	0	0	2	3	0	2	1	1	1	4	328	3	0	1	3	2	179	4	1	2
OTU_478;size=93;	0	114	0	1	1	0	0	0	0	0	2	0	2	1	0	0	4	0	3	0
OTU_1390;size=7;	0	0	0	4	0	0	0	0	0	6	1	0	2	0	9	0	0	0	0	0
OTU_287;size=237;	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_977;size=22;	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_593;size=57;	0	0	95	2	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1
OTU_1233;size=6;	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
OTU_486;size=79;	0	0	0	1	0	0	0	119	0	1	2	1	0	1	0	0	0	0	0	0
OTU_414;size=106;	164	0	0	0	1	0	1	1	0	1	0	5	0	0	2	0	0	2	0	1
OTU_406;size=112;	2	50	1	0	0	0	0	1	30	0	2	0	0	0	0	62	0	26	2	0
OTU_324;size=316;	0	16	1	55	20	0	9	8	106	98	47	20	0	25	18	3	0	3	0	3
OTU_713;size=44;	0	0	0	0	0	0	0	0	1	0	0	68	0	0	0	0	0	0	0	0
OTU_654;size=50;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	91	0	0	0	0
OTU_617;size=119;	0	1	2	44	14	1	4	15	0	0	4	49	7	6	0	3	1	1	0	26
OTU_948;size=18;	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	1	0
OTU_1482;size=4;	0	0	0	0	0	0	0	1	0	1	1	17	0	0	86	0	1	0	0	0
OTU_1158;size=9;	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
OTU_610;size=57;	0	0	1	0	0	1	0	0	3	98	0	1	0	0	0	0	1	0	0	1
OTU_699;size=43;	1	0	56	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_391;size=120;	0	0	0	1	182	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1
OTU_775;size=37;	0	9	0	0	0	1	55	0	0	0	0	2	1	0	1	0	0	0	1	0
OTU_543;size=68;	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	112	0	0
OTU_1240;size=16;	3	10	22	2	4	0	3	1	0	1	9	15	0	0	0	28	0	11	2	1
OTU_708;size=82;	0	0	2	0	0	1	0	1	58	0	1	1	1	2	1	2	0	75	0	0
OTU_291;size=191;	0	0	86	183	0	0	1	2	0	0	1	1	0	0	1	2	1	1	0	0
OTU_548;size=70;	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	113	0	0	1
OTU_262;size=242;	1	0	1	2	0	0	1	1	1	172	2	164	0	0	1	1	1	1	1	0
OTU_634;size=72;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0
OTU_308;size=181;	0	0	112	0	0	2	0	0	1	2	0	39	1	105	2	0	1	2	6	1
OTU_306;size=182;	0	1	2	0	0	0	0	1	0	3	0	1	1	3	2	0	0	257	2	1
OTU_891;size=25;	0	0	0	0	0	1	0	0	0	1	36	2	0	0	0	1	2	0	0	0
OTU_611;size=55;	0	0	0	0	0	0	2	0	0	0	82	0	0	1	1	0	0	0	0	0
OTU_512;size=74;	0	1	2	0	0	1	0	0	1	3	28	0	0	0	0	0	0	71	0	1
OTU_444;size=102;	0	0	0	2	0	0	1	0	0	1	0	1	1	1	0	0	0	152	0	0
OTU_732;size=60;	0	0	0	0	1	0	0	0	0	0	0	0	0	97	1	1	0	1	0	0
OTU_437;size=93;	0	0	1	1	0	0	1	0	2	0	0	128	0	0	0	0	0	0	0	0
OTU_1107;size=12;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24	0	0
OTU_913;size=22;	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
OTU_504;size=68;	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	4	107	0	0	0
OTU_427;size=100;	1	0	2	3	1	0	0	1	0	145	0	0	0	0	0	0	0	0	0	0
OTU_686;size=72;	1	31	24	1	0	0	1	0	0	0	1	48	1	1	0	1	0	1	0	0
OTU_547;size=110;	0	1	0	103	0	1	2	0	0	0	1	0	0	0	1	0	0	62	0	0
OTU_587;size=74;	0	0	107	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0
OTU_1095;size=13;	0	0	0	0	0	0	0	0	1	0	0	0	0	21	1	0	0	0	0	0
OTU_619;size=57;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0
OTU_992;size=25;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	25
OTU_380;size=169;	0	101	1	94	0	0	1	0	0	0	59	0	0	2	0	0	1	2	0	0
OTU_630;size=77;	0	0	2	0	0	0	0	0	1	2	0	93	1	0	22	1	1	0	0	0
OTU_353;size=165;	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	240	0	6
OTU_677;size=56;	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	89
OTU_284;size=232;	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	319	1	0	2	0
OTU_586;size=130;	26	3	15	23	3	0	5	0	1	0	1	12	1	2	9	84	19	2	0	1
OTU_1001;size=15;	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_759;size=69;	0	0	0	0	0	0	48	0	0	0	0	0	0	0	59	0	0	0	0	0
OTU_832;size=31;	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	30	0	1	0	0
OTU_604;size=66;	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	95
OTU_689;size=51;	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0
OTU_293;size=199;	0	0	0	2	3	1	0	0	1	2	23	1	0	18	1	144	30	0	40	0
OTU_860;size=24;	0	0	2	0	0	0	0	38	1	0	0	0	0	0	1	0	0	0	0	0
OTU_542;size=72;	0	0	0	3	1	0	113	0	1	0	1	0	0	0	1	2	1	0	0	1
OTU_1407;size=26;	90	0	0	1	0	0	0	1	1	1	0	0	7	0	15	0	0	0	0	0
OTU_834;size=31;	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	50
OTU_1505;size=8;	1	3	5	3	0	0	1	1	1	0	14	67	1	0	8	1	2	6	4	3
OTU_522;size=68;	0	1	1	1	0	0	0	90	0	0	2	0	2	1	0	0	1	0	1	1
OTU_627;size=50;	0	0	80	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0
OTU_602;size=52;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
OTU_1528;size=6;	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
OTU_1483;size=2;	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	80	0	1
OTU_632;size=57;	0	0	81	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_966;size=19;	0	17	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_645;size=49;	0	0	0	0	1	0	0	0	0	0	92	0	1	0	0	0	1	0	0	0
OTU_292;size=210;	1	0	285	5	0	0	1	1	0	1	2	2	0	1	0	4	0	0	0	3
OTU_1258;size=6;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11
OTU_607;size=73;	2	0	0	97	0	0	0	0	0	0	13	0	0	1	0	0	0	0	12	0
OTU_1385;size=3;	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0
OTU_719;size=71;	114	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1
OTU_394;size=110;	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	151	0
OTU_1077;size=12;	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
OTU_673;size=47;	0	0	0	0	1	0	0	0	70	0	0	0	0	1	0	0	1	0	0	0
OTU_597;size=53;	0	0	0	0	0	1	0	0	0	0	84	0	0	0	0	0	0	2	0	0
OTU_490;size=79;	0	2	1	1	2	0	74	3	0	3	0	2	0	0	4	0	1	0	32	0
OTU_897;size=23;	0	1	0	0	1	1	0	38	0	2	0	0	0	0	0	0	0	1	0	0
OTU_1033;size=15;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
OTU_968;size=19;	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_717;size=43;	0	0	0	68	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
OTU_664;size=62;	0	0	0	0	0	0	0	1	0	0	93	0	0	0	1	0	0	0	0	1
OTU_588;size=82;	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	1	0	0
OTU_510;size=76;	0	0	0	0	1	0	0	0	0	116	1	1	0	0	0	0	0	0	0	0
OTU_1480;size=10;	13	6	0	2	1	0	5	15	0	7	0	0	9	4	1	0	1	8	3	1
OTU_519;size=75;	0	0	0	114	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0
OTU_1419;size=39;	0	0	0	0	0	1	0	0	1	0	26	126	0	0	9	0	2	0	0	0
OTU_275;size=202;	0	0	0	0	1	0	0	2	0	1	1	1	0	0	0	279	0	1	0	0
OTU_901;size=23;	0	0	0	0	0	0	0	0	0	0	0	0	43	0	1	0	0	0	1	0
OTU_1135;size=12;	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1212;size=7;	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1067;size=12;	0	0	0	0	0	0	1	1	0	5	0	12	0	0	0	0	0	0	1	0
OTU_435;size=173;	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	1	165	2	0	0
OTU_344;size=141;	0	1	211	1	1	1	0	1	0	0	0	2	0	0	1	1	3	0	0	1
OTU_405;size=110;	0	0	0	90	0	1	0	0	0	1	1	0	33	0	0	19	0	1	10	2
OTU_295;size=191;	0	0	0	1	1	2	1	0	3	0	266	0	0	0	2	1	1	0	1	1
OTU_698;size=41;	0	1	25	0	1	0	0	1	0	1	0	0	36	0	0	2	0	0	1	0
OTU_847;size=36;	0	0	0	0	0	0	0	0	0	0	60	0	1	0	1	0	0	2	0	0
OTU_530;size=67;	1	0	0	1	0	0	0	0	0	101	0	0	0	0	0	0	0	2	0	0
OTU_1549;size=2;	7	1	1	1	4	0	3	12	5	0	4	0	1	1	0	1	0	12	3	2
OTU_369;size=265;	2	1	0	1	0	0	0	1	1	1	48	3	250	0	0	135	2	1	0	0
OTU_910;size=24;	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	0	0
OTU_694;size=41;	0	57	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU_1539;size=4;	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	11
OTU_615;size=50;	0	0	0	81	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0
OTU_424;size=123;	0	0	0	0	2	1	0	1	0	1	5	0	0	10	3	75	1	30	61	1
OTU_1335;size=4;	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_595;size=100;	0	1	1	0	0	1	0	0	0	0	138	1	1	1	0	0	0	0	0	0
OTU_871;size=37;	0	0	55	1	0	0	0	0	0	3	1	80	1	0	0	0	0	0	1	0
OTU_692;size=99;	0	1	38	1	28	0	0	1	0	23	1	40	0	1	0	0	0	1	42	0
