OTUId	C7.3	E4.6	G8.5	C7.4	E4.1	E4.8	E4.3	E4.2	E4.4	C7.5	G8.1	G8.4	C7.2	E4.9	C7.1	E4.7	G8.3	E4.10	E4.5	G8.2
OTU_52;size=4073;	34	153	675	35	8	5	99	139	349	947	706	200	13	78	296	145	184	272	13	587
OTU_26;size=10753;	1002	301	327	270	353	18	495	643	676	378	588	789	107	262	816	309	1825	930	500	772
OTU_165;size=561;	2	1	2	1	0	3	0	0	0	3	3	0	0	0	183	483	2	142	2	1
OTU_1325;size=815;	250	419	150	76	127	12	559	456	367	1089	943	752	31	271	853	793	515	1086	1298	729
OTU_91;size=1697;	2	50	8	7	95	2	9	110	113	8	113	308	2	244	280	141	323	300	103	7
OTU_256;size=328;	141	0	32	66	4	1	2	2	1	4	2	3	1	2	4	4	239	3	2	1
OTU_1142;size=9;	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
OTU_1477;size=186;	1051	1	470	407	160	3	77	7	198	6	12	61	3	7	132	6	134	12	12	62
OTU_1296;size=8;	0	0	24	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
OTU_75;size=1932;	195	30	234	8	324	6	60	51	6	147	292	68	30	4	28	365	149	312	65	68
OTU_447;size=99;	0	0	0	0	0	0	0	0	6	0	154	1	0	0	0	1	1	0	0	0
OTU_180;size=705;	3	0	6	45	25	0	42	118	160	5	9	4	3	16	11	513	1	17	22	2
OTU_242;size=1148;	53	139	287	214	557	6	158	41	242	114	197	197	188	112	69	300	399	168	257	60
OTU_282;size=277;	0	0	0	3	0	0	0	0	0	399	0	3	1	0	1	0	0	1	0	0
OTU_45;size=6699;	408	117	80	1549	621	16	230	1042	551	704	353	500	116	114	623	844	133	237	278	396
OTU_80;size=2124;	3	2	10	5	4	3	2	3	5	4	2782	5	1	3	3	1	4	5	3	3
OTU_103;size=2391;	2	3	0	2	3	3	0	1	5	1	5	3109	3	2	5	5	1	2	2	2
OTU_109;size=3031;	85	332	29	777	493	5	473	196	382	35	30	421	227	328	414	757	1026	627	278	415
OTU_231;size=459;	1	1	4	145	92	2	35	1	1	0	4	0	0	2	368	4	0	43	1	2
OTU_812;size=28;	0	0	0	0	1	0	0	0	0	0	0	22	0	0	1	0	1	0	23	0
OTU_302;size=327;	3	0	2	0	0	1	1	0	0	1	1	289	0	1	0	1	179	0	0	0
OTU_78;size=2913;	1292	4	149	724	423	5	9	15	295	18	201	287	3	7	11	12	13	4	181	13
OTU_646;size=50;	0	0	1	0	0	0	0	0	0	0	81	1	0	0	0	0	0	0	0	0
OTU_145;size=705;	1	0	2	2	0	2	2	1	0	884	1	0	2	1	1	0	4	2	1	0
OTU_301;size=240;	159	0	62	0	0	0	1	0	1	0	54	0	0	1	3	0	1	2	0	0
OTU_70;size=3429;	621	135	1262	263	39	4	125	569	21	74	272	120	4	12	110	240	15	267	120	53
OTU_570;size=521;	14	9	781	195	60	6	234	325	15	28	294	213	18	161	738	32	25	11	565	72
OTU_232;size=376;	58	0	0	59	0	2	6	2	74	1	1	33	6	46	2	270	4	6	0	0
OTU_136;size=937;	345	3	136	7	130	2	4	65	70	8	99	210	4	0	59	30	71	29	3	25
OTU_88;size=1550;	13	1	128	8	9	2	4	479	77	299	239	16	110	8	9	10	10	2	6	558
OTU_158;size=1457;	56	92	197	269	84	5	80	30	27	15	100	112	39	233	110	352	11	118	116	63
OTU_1498;size=116;	184	13	843	200	272	7	316	151	272	16	248	196	121	62	222	120	470	488	142	18
OTU_72;size=1999;	23	23	206	84	171	6	139	30	214	256	55	138	34	49	427	181	247	4	144	25
OTU_132;size=897;	144	1	1	1	1	1	154	3	33	251	32	29	0	89	93	11	2	198	77	2
OTU_47;size=4272;	138	35	337	1709	80	3	191	276	363	387	99	126	17	573	52	175	193	205	188	49
OTU_22;size=12773;	971	291	612	2252	297	19	918	141	160	231	628	159	172	252	726	1378	1757	1515	374	966
OTU_333;size=158;	0	0	0	0	0	1	0	42	1	0	0	1	0	1	0	191	0	0	0	1
OTU_162;size=655;	6	2	4	2	0	3	100	31	132	61	60	54	8	11	39	74	7	222	136	1
OTU_107;size=3449;	357	98	229	326	93	21	180	392	417	89	346	170	77	143	361	469	98	409	188	308
OTU_969;size=23;	0	0	7	0	0	1	5	0	0	0	1	0	0	0	2	0	9	0	0	10
OTU_31;size=6997;	887	89	1159	654	437	19	526	338	470	581	161	355	129	124	744	638	321	371	457	268
OTU_73;size=2821;	8	39	200	210	86	3	123	14	38	486	303	294	18	278	43	21	823	86	342	241
OTU_357;size=146;	153	0	0	3	2	1	0	1	12	2	1	1	1	0	79	2	0	2	0	0
OTU_122;size=968;	2	0	3	1190	1	0	3	2	2	2	1	5	1	1	9	2	3	1	1	1
OTU_326;size=165;	0	0	1	0	1	0	0	1	58	0	135	1	0	0	0	5	0	34	2	1
OTU_1172;size=10;	12	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
OTU_636;size=55;	0	0	75	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU_110;size=1710;	17	55	112	14	448	1	92	254	17	70	75	89	1	357	12	294	137	215	77	117
OTU_281;size=208;	0	0	279	0	0	1	1	1	1	1	4	3	1	1	0	0	0	1	0	0
OTU_99;size=1366;	8	6	180	40	7	3	38	4	114	194	742	33	24	17	59	110	7	128	32	56
OTU_69;size=3593;	164	1	13	661	12	4	148	88	390	254	451	422	7	221	19	341	855	122	382	8
OTU_77;size=1823;	52	78	192	82	230	10	52	132	65	94	65	135	46	150	152	229	237	172	95	17
OTU_129;size=1420;	68	25	75	27	110	4	95	114	2	247	33	14	42	72	6	74	57	141	6	24
OTU_768;size=37;	0	0	1	0	1	1	0	53	0	0	0	0	0	0	2	0	1	0	3	0
OTU_410;size=104;	1	2	2	1	0	0	1	2	1	1	1	1	1	0	0	0	0	141	1	1
OTU_240;size=269;	1	0	1	0	0	0	1	0	0	1	0	20	0	0	1	375	0	5	0	1
OTU_304;size=220;	272	27	2	0	0	0	0	0	1	0	1	0	0	4	1	1	0	1	0	15
OTU_68;size=2762;	49	36	348	797	5	2	244	381	8	482	740	26	13	169	16	12	5	8	3	92
OTU_1322;size=148;	7	12	10	1	224	0	55	5	131	4	137	5	0	25	3	102	36	4	3	5
OTU_631;size=49;	0	0	0	93	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0
OTU_268;size=258;	1	42	24	76	3	2	1	15	73	20	2	2	2	2	4	76	1	24	2	13
OTU_684;size=50;	0	0	0	88	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0
OTU_113;size=1959;	199	160	219	59	150	5	53	172	73	195	168	11	28	45	163	210	260	134	184	179
OTU_39;size=4993;	61	92	209	188	191	9	147	764	129	1774	375	530	59	243	273	998	176	54	6	42
OTU_385;size=131;	0	1	1	0	0	0	0	2	1	0	0	0	0	0	70	126	1	3	0	0
OTU_1340;size=6;	1	2	3	10	10	0	3	9	4	7	4	1	0	0	3	4	0	6	2	0
OTU_55;size=5343;	4	2	6	10	8	4	6	6	5	9	18	5691	7	3	5	7	12	765	5	5
OTU_83;size=4128;	5	14	241	228	15	8	51	316	468	109	287	187	190	661	273	622	597	121	274	718
OTU_170;size=801;	92	71	69	3	142	1	19	55	30	84	21	20	38	73	69	134	18	97	86	65
OTU_331;size=168;	0	0	70	0	0	0	1	0	1	0	1	0	0	1	3	201	1	4	1	0
OTU_58;size=4264;	928	9	16	683	52	4	225	787	701	187	11	246	6	478	576	19	15	205	158	16
OTU_616;size=64;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0
OTU_195;size=419;	1	1	1	1	1	1	1	0	1	2	1	3	0	0	2	0	561	0	0	0
OTU_378;size=126;	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	183	1	0	0
OTU_115;size=2333;	69	50	611	152	91	6	38	46	58	341	193	372	102	158	471	141	68	98	79	184
OTU_202;size=406;	2	53	3	471	2	0	4	0	0	4	3	1	0	2	2	3	0	1	0	1
OTU_1588;size=18;	25	1	12	148	66	4	4	117	151	31	7	81	4	44	36	60	104	66	78	1361
OTU_459;size=146;	1	0	0	1	0	0	23	1	0	153	0	1	43	1	1	2	0	35	0	0
OTU_263;size=210;	9	0	0	73	12	1	1	0	41	41	2	2	0	2	111	2	1	0	0	0
OTU_120;size=1115;	228	25	6	112	29	1	56	43	39	200	57	63	38	51	110	192	167	68	27	42
OTU_153;size=1132;	3	6	6	168	333	1	27	3	81	21	8	81	17	2	165	257	411	1	9	5
OTU_220;size=637;	1	4	726	8	5	3	3	1	3	3	4	3	1	2	127	2	2	0	3	2
OTU_84;size=1607;	2	1	2	1973	5	3	0	2	1	2	0	6	1	0	1	5	2	1	0	0
OTU_1074;size=12;	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	1
OTU_116;size=2893;	298	58	207	874	212	11	78	243	63	363	308	128	146	160	464	463	157	479	159	244
OTU_425;size=95;	0	0	1	0	0	1	1	0	0	0	0	143	0	0	0	0	0	0	0	0
OTU_431;size=140;	0	0	0	147	0	1	0	0	43	0	1	1	7	0	7	2	0	0	0	1
OTU_760;size=35;	0	1	0	0	1	0	0	1	0	0	0	7	0	0	0	0	41	0	0	0
OTU_709;size=58;	0	0	15	0	0	0	1	0	1	0	0	71	0	0	0	0	1	0	0	0
OTU_1000;size=34;	2	0	88	1	1	0	0	57	28	0	3	0	2	0	2	1	0	0	0	4
OTU_131;size=2054;	8	309	150	96	435	1	130	56	233	198	174	547	5	57	242	66	11	57	105	9
OTU_245;size=255;	2	1	2	125	0	0	133	1	1	58	0	53	2	0	0	3	0	1	7	1
OTU_139;size=1607;	559	0	308	10	3	2	1	1	5	9	6	6	5	500	176	2	6	290	3	244
OTU_95;size=1169;	6	1	1	0	4	1435	0	3	2	3	1	2	2	1	1	1	2	2	1	0
OTU_648;size=45;	0	0	0	0	0	0	0	0	0	60	0	1	1	0	0	0	0	1	0	0
OTU_401;size=113;	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	173	0	0	0	1
OTU_43;size=4250;	4	12	41	8	473	7	85	5	100	8	8	208	2327	4	1608	9	62	8	35	4
OTU_59;size=2647;	531	22	3	24	97	6	3	4	64	10	384	6	83	429	1565	67	5	49	2	7
OTU_746;size=51;	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	73	0	0	0	0
OTU_729;size=53;	0	0	0	0	0	0	0	0	0	0	77	1	1	1	0	0	0	0	1	0
OTU_189;size=547;	1	0	4	1	0	1	1	1	1	238	510	7	0	0	2	1	3	1	2	0
OTU_102;size=1681;	0	1	1	3	2	1	2	2	2	2	7	1287	1	1	4	856	3	1	3	3
OTU_100;size=1651;	123	38	290	139	240	10	6	88	157	72	31	92	24	78	87	78	329	177	6	273
OTU_449;size=104;	0	110	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	36	0	0
OTU_272;size=244;	10	1	1	2	60	1	1	2	0	0	4	47	1	26	17	1	4	65	0	126
OTU_29;size=6574;	664	95	181	114	1541	4	12	19	81	361	446	1054	25	45	792	264	1555	138	165	63
OTU_65;size=2526;	6	3	4	204	474	3	3	32	286	1	6	564	88	156	417	904	9	2	3	64
OTU_98;size=1223;	211	59	3	250	77	3	16	72	52	201	42	63	116	100	43	122	44	19	24	70
OTU_235;size=271;	0	0	0	0	365	2	0	0	0	0	1	3	0	0	0	0	0	0	1	0
OTU_307;size=169;	0	0	2	2	1	1	1	0	0	0	0	59	0	0	1	1	15	162	0	0
OTU_64;size=4781;	78	35	911	1155	21	2	17	187	21	257	13	57	5	86	125	1	131	216	43	142
OTU_30;size=7670;	10	249	957	15	8	6	6	10	11	12	1375	5149	5	9	65	14	17	9	523	656
OTU_125;size=2687;	10	147	127	282	201	3	41	373	80	161	110	122	137	234	179	211	25	4	109	22
OTU_171;size=541;	1	54	0	41	1	2	90	13	2	5	2	181	23	2	6	2	4	231	106	2
OTU_952;size=20;	1	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
OTU_252;size=236;	6	1	2	2	2	1	1	309	1	2	2	3	2	0	3	2	2	0	0	0
OTU_320;size=170;	0	1	0	0	1	0	0	1	0	265	0	2	1	0	0	0	0	1	0	0
OTU_352;size=146;	0	0	1	0	0	0	1	2	0	0	0	0	0	0	244	1	0	0	1	1
OTU_928;size=19;	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	1	0	0
OTU_445;size=95;	1	0	1	1	1	0	3	0	0	3	146	0	0	0	4	2	1	0	0	1
OTU_453;size=183;	7	10	9	14	34	0	4	24	13	13	0	17	10	3	56	23	24	16	6	4
OTU_701;size=51;	0	0	0	0	0	0	0	0	0	75	0	31	0	0	1	1	2	0	0	0
OTU_465;size=244;	10	1	22	6	2	3	3	78	332	81	3	116	1	4	2	102	18	188	4	8
OTU_1243;size=164;	61	48	371	250	45	3	31	32	12	5	16	10	5	27	265	76	5	3	11	39
OTU_742;size=52;	0	0	2	0	0	1	0	1	0	0	72	0	0	0	0	2	0	0	0	0
OTU_781;size=31;	0	0	0	0	0	0	0	0	56	1	0	0	0	0	0	0	0	0	0	0
OTU_857;size=30;	0	0	0	0	0	0	0	0	2	0	48	0	0	1	0	0	1	0	0	0
OTU_155;size=913;	0	138	8	2	3	4	2	1	67	115	284	44	112	133	5	8	2	158	2	0
OTU_343;size=135;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	187	0	1	0	1	0
OTU_477;size=177;	3	1	3	0	115	0	3	1	47	0	2	115	0	0	1	0	0	1	0	5
OTU_578;size=69;	0	0	0	2	75	0	0	6	7	16	0	13	0	0	1	0	0	0	0	7
OTU_403;size=305;	0	1	0	0	0	0	1	0	0	1	1	451	1	0	0	0	1	0	0	0
OTU_614;size=84;	0	0	1	0	0	0	0	1	0	0	135	0	0	0	0	0	0	2	0	0
OTU_283;size=230;	0	0	2	1	0	0	328	2	1	1	1	0	1	0	2	2	1	0	0	0
OTU_213;size=367;	2	0	2	1	1	0	0	1	1	3	0	0	1	1	1	503	2	1	1	1
OTU_118;size=1083;	1	0	1	2	3	11	0	5	0	1	29	9	0	117	4	2	1	1173	9	0
OTU_1541;size=68;	9	134	17	271	6	3	7	9	105	136	307	35	8	161	19	8	877	6	21	232
